,P3 7p
6BT+5TT+Br+H,0.0
5BT+9TT+Methyl+Phenyl,0.0012803860274118897
5BT+9TT+Br+Methyl,0.0
5BT+8TT+Stannyl+Phenyl,0.0
6BT+5TT+Methyl+Phenyl,0.002758424241323283
5BT+8TT+Stannyl+Br,0.0
6BT+5TT+Br+Methyl,0.0
6BT+4TT+Stannyl+Phenyl,0.0
6BT+4TT+Stannyl+Br,0.0
5BT+10TT+2H,0.0005367147015892767
6BT+6TT+2H,0.012996220134133226
7BT+2TT+2H,0.0
5BT+10TT+H+Methyl,0.0
5BT+9TT+2Phenyl,0.0
5BT+9TT+Br+Phenyl,-0.0
5BT+9TT+2Br,0.0
5BT+9TT+Stannyl+H,0.0
6BT+6TT+H+Methyl,0.030284478644212454
6BT+5TT+2Phenyl,0.0
6BT+5TT+Br+Phenyl,0.0
6BT+5TT+2Br,0.0
6BT+5TT+Stannyl+H,0.0
7BT+2TT+H+Methyl,0.0
5BT+10TT+2Methyl,0.00017548660952891785
5BT+9TT+Stannyl+Methyl,0.0
6BT+6TT+2Methyl,0.020150939056484986
6BT+5TT+Stannyl+Methyl,0.00045678315419157487
7BT+2TT+2Methyl,-0.0
5BT+8TT+2Stannyl,0.001381295275591443
6BT+4TT+2Stannyl,0.0017602376989581388
5BT+10TT+H+Phenyl,0.0
5BT+10TT+Br+H,0.0
6BT+6TT+H+Phenyl,0.003635556304381509
6BT+6TT+Br+H,0.0
7BT+2TT+H+Phenyl,0.0
7BT+2TT+Br+H,0.0
5BT+10TT+Methyl+Phenyl,0.0
5BT+10TT+Br+Methyl,0.0
5BT+9TT+Stannyl+Phenyl,0.0
6BT+6TT+Methyl+Phenyl,0.00446901665955948
5BT+9TT+Stannyl+Br,0.0
6BT+6TT+Br+Methyl,0.0
6BT+5TT+Stannyl+Phenyl,0.0
7BT+2TT+Methyl+Phenyl,0.0
6BT+5TT+Stannyl+Br,0.0
7BT+2TT+Br+Methyl,0.0
6BT+7TT+2H,0.0117258447109014
7BT+3TT+2H,-0.0
5BT+10TT+2Phenyl,0.0
5BT+10TT+Br+Phenyl,0.0
5BT+10TT+2Br,-0.0
5BT+10TT+Stannyl+H,0.0
6BT+7TT+H+Methyl,0.029478480944624023
6BT+6TT+2Phenyl,0.0
6BT+6TT+Br+Phenyl,0.002500876304997348
6BT+6TT+2Br,0.0
6BT+6TT+Stannyl+H,0.0
7BT+3TT+H+Methyl,-0.0
7BT+2TT+2Phenyl,0.0
7BT+2TT+Br+Phenyl,0.0
7BT+2TT+2Br,0.0
7BT+2TT+Stannyl+H,-0.0
5BT+10TT+Stannyl+Methyl,0.0
6BT+7TT+2Methyl,0.021674340060317664
6BT+6TT+Stannyl+Methyl,0.0001885341744770877
7BT+3TT+2Methyl,-0.0
5BT+9TT+2Stannyl,-0.0
7BT+2TT+Stannyl+Methyl,0.0017183354570317597
6BT+5TT+2Stannyl,0.002978755521500514
6BT+7TT+H+Phenyl,0.0033250474036393865
6BT+7TT+Br+H,0.0
7BT+3TT+H+Phenyl,0.0
7BT+3TT+Br+H,0.0
